Estacion,Agrupacion,Fecha inicial,Fecha final,Parametro,Dias buenos,Dias aceptables,Dias malos,Dias muy malos,Dias extremadamente malos,Dias insuficientes,Unnamed: 11
Agregado,2019-6,01/06/2019,30/06/2019,SO2,,0,0,0,0,0,nan
Agregado,2019-7,01/07/2019,31/07/2019,SO2,31,0,0,0,0,0,nan
Agregado,2019-8,01/08/2019,31/08/2019,SO2,31,0,0,0,0,0,nan
Agregado,2019-9,01/09/2019,30/09/2019,SO2,30,0,0,0,0,0,nan
Agregado,,01/10/2019,31/10/2019,SO2,29,0,0,0,0,2,nan
Agregado,2019-11,01/11/2019,30/11/2019,,30,0,0,0,0,0,nan
Agregado,2019-12,01/12/2019,31/12/2019,SO2,31,0,0,0,,0,nan
Agregado,2019-4,01/04/2019,30/04/2019,SO2,30,0,0,,0,0,nan
BINE : Benemerito Instituto Normal del Estado,2020-1,01/01/2020,31/01/2020,SO2,30,0,0,0,0,1,nan
BINE : Benemerito Instituto Normal del Estado,2020-2,01/02/2020,29/02/2020,SO2,19,0,0,0,0,10,nan
BINE : Benemerito Instituto Normal del Estado,2020-3,01/03/2020,31/03/2020,SO2,21,,0,0,0,10,nan
BINE : Benemerito Instituto Normal del Estado,2020-4,01/04/2020,30/04/2020,SO2,17,0,0,0,0,,nan
BINE : Benemerito Instituto Normal del Estado,2020-5,01/05/2020,31/05/2020,SO2,25,0,0,0,0,6,nan
BINE : Benemerito Instituto Normal del Estado,2020-6,01/06/2020,30/06/2020,SO2,4,0,0,0,0,26,nan
BINE : Benemerito Instituto Normal del Estado,2020-10,01/10/2020,31/10/2020,SO2,29,0,0,0,0,2,nan
BINE : Benemerito Instituto Normal del Estado,2020-11,01/11/2020,30/11/2020,SO2,14,0,0,0,0,16,nan
BINE : Benemerito Instituto Normal del Estado,2020-12,01/12/2020,31/12/2020,SO2,10,0,0,0,0,21,nan
NIN : Las Ninfas,2020-7,01/07/2020,31/07/2020,SO2,29,0,0,0,0,2,nan
NIN : Las Ninfas,2020-8,01/08/2020,31/08/2020,SO2,27,0,0,0,,4,nan
NIN : Las Ninfas,2020-9,01/09/2020,30/09/2020,SO2,30,0,0,0,0,0,nan
NIN : Las Ninfas,2020-10,01/10/2020,31/10/2020,Auto%#,29,0,0,0,0,2,nan
NIN : Las Ninfas,2020-11,01/11/2020,30/11/2020,SO2,24,0,0,0,0,6,nan
NIN : Las Ninfas,2020-12,01/12/2020,31/12/2020,SO2,31,Auto%#,0,0,0,0,nan
STA : Agua Santa,2020-1,01/01/2020,31/01/2020,SO2,26,0,0,0,0,5,nan
STA : Agua Santa,2020-2,01/02/2020,29/02/2020,SO2,25,0,0,,0,4,nan
STA : Agua Santa,2020-3,01/03/2020,31/03/2020,SO2,24,0,0,0,0,7,nan
STA : Agua Santa,2020-4,01/04/2020,30/04/2020,SO2,20,0,0,0,0,10,nan
STA : Agua Santa,2020-5,01/05/2020,31/05/2020,SO2,26,0,0,0,0,5,nan
STA : Agua Santa,2020-6,01/06/2020,30/06/2020,SO2,23,0,0,0,0,7,nan
STA : Agua Santa,2020-7,01/07/2020,31/07/2020,SO2,30,0,0,0,0,1,nan
STA : Agua Santa,2020-8,01/08/2020,31/08/2020,SO2,Auto%#,0,0,0,0,12,nan
STA : Agua Santa,2020-9,01/09/2020,30/09/2020,SO2,27,0,0,0,0,3,nan
STA : Agua Santa,,01/10/2020,31/10/2020,SO2,30,0,0,0,0,1,nan
Auto%#,2020-11,01/11/2020,30/11/2020,SO2,26,0,0,0,,4,nan
STA : Agua Santa,2020-12,01/12/2020,31/12/2020,SO2,8,0,0,0,0,23,nan
UTP : Universidad Tecnolï¿½gica de Puebla,2020-1,01/01/2020,31/01/2020,SO2,29,0,0,0,0,2,nan
